CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
82821020,-25.4233146347775,-49.2160678044742,6,08:49,38,81650170,-25.4968831947737,-49.2251870078443,True,08:56
81650170,-25.4968831947737,-49.2251870078443,6,08:56,43,82950220,-25.4538040386831,-49.2173702690989,True,08:59
82950220,-25.4538040386831,-49.2173702690989,6,08:59,46,82990150,-25.4599432722975,-49.1940915354714,True,09:05
82990150,-25.4599432722975,-49.1940915354714,6,09:05,44,82821020,-25.4233146347775,-49.2160678044742,True,09:05
82821020,-25.4233146347775,-49.2160678044742,6,09:05,0,81470089,-25.5687003611858,-49.3290482775162,False,09:06
81470089,-25.5687003611858,-49.3290482775162,6,09:06,56,81470340,-25.5784518706724,-49.3362378687666,False,09:09
81470340,-25.5784518706724,-49.3362378687666,6,09:09,46,81470055,-25.5630048148415,-49.3383968771216,True,09:37
81470055,-25.5630048148415,-49.3383968771216,6,09:37,30,80220380,-25.4622493336364,-49.2552576680305,True,09:56
80220380,-25.4622493336364,-49.2552576680305,6,09:56,33,82710082,-25.3647667288143,-49.2518749086381,True,10:00
82710082,-25.3647667288143,-49.2518749086381,6,10:00,49,82130282,-25.3808727224324,-49.2743298330015,True,10:28
82130282,-25.3808727224324,-49.2743298330015,6,10:28,30,81560570,-25.4943561601417,-49.2107486004445,True,10:48
81560570,-25.4943561601417,-49.2107486004445,6,10:48,33,81310370,-25.5005119473929,-49.3186624209516,True,11:14
81310370,-25.5005119473929,-49.3186624209516,6,11:14,31,82821020,-25.4233146347775,-49.2160678044742,True,11:37
82821020,-25.4233146347775,-49.2160678044742,6,11:37,32,82400000,-25.4008242454259,-49.335596235314,True,11:57
82400000,-25.4008242454259,-49.335596235314,6,11:57,33,81030180,-25.4763519008138,-49.2647633349843,True,12:23
81030180,-25.4763519008138,-49.2647633349843,6,12:23,31,81470370,-25.5778784839382,-49.3341110960705,True,12:51
81470370,-25.5778784839382,-49.3341110960705,6,12:51,30,81610090,-25.4829752828427,-49.2413676273212,True,13:02
81610090,-25.4829752828427,-49.2413676273212,6,13:02,38,82821016,-25.4270763750322,-49.209505500185,True,13:09
82821016,-25.4270763750322,-49.209505500185,6,13:09,43,80010040,-25.433306347953,-49.2586024190518,True,13:28
80010040,-25.433306347953,-49.2586024190518,6,13:28,33,82415070,-25.3666350000001,-49.3367376666649,True,13:56
82415070,-25.3666350000001,-49.3367376666649,6,13:56,30,81450340,-25.4902346316319,-49.3486330527676,True,14:20
81450340,-25.4902346316319,-49.3486330527676,6,14:20,31,81560730,-25.476983000057,-49.2242420001757,True,14:32
81560730,-25.476983000057,-49.2242420001757,6,14:32,38,81910570,-25.5339269047986,-49.2586402382427,True,14:51
81910570,-25.5339269047986,-49.2586402382427,6,14:51,33,81490398,-25.5963908362783,-49.3358913045797,True,15:12
81490398,-25.5963908362783,-49.3358913045797,6,15:12,32,81720360,-25.5259885359266,-49.2525244997371,True,15:33
81720360,-25.5259885359266,-49.2525244997371,6,15:33,33,81490360,-25.5959260714452,-49.3331487620149,True,15:33
81490360,-25.5959260714452,-49.3331487620149,6,15:33,0,82960518,-25.4654572500437,-49.1984884999811,False,15:58
82960518,-25.4654572500437,-49.1984884999811,6,15:58,31,81200160,-25.4320014000022,-49.3213627999599,True,16:09
81200160,-25.4320014000022,-49.3213627999599,6,16:09,38,80215542,-25.4467561755521,-49.2503976846901,True,16:21
80215542,-25.4467561755521,-49.2503976846901,6,16:21,37,82025101,-25.4089804447922,-49.3131316666906,True,16:51
82025101,-25.4089804447922,-49.3131316666906,6,16:51,30,81590576,-25.4942162501529,-49.2012669496276,True,17:15
81590576,-25.4942162501529,-49.2012669496276,6,17:15,31,81315685,-25.5115270000027,-49.3255583333193,True,17:19
81315685,-25.5115270000027,-49.3255583333193,6,17:19,50,81450310,-25.4928927891057,-49.3482807107009,True,17:19
81450310,-25.4928927891057,-49.3482807107009,6,17:19,0,81590220,-25.4821304044981,-49.1983598981544,False,17:33
81590220,-25.4821304044981,-49.1983598981544,6,17:33,30,82821020,-25.4233146347775,-49.2160678044742,True,17:42
82821020,-25.4233146347775,-49.2160678044742,6,17:42,43,81590270,-25.4844592157371,-49.203473764438,True,17:58
81590270,-25.4844592157371,-49.203473764438,6,17:58,35,80030200,-25.4196624320568,-49.2602838398977,True,18:18
80030200,-25.4196624320568,-49.2602838398977,6,18:18,33,81250482,-25.4865966553425,-49.3378683447999,True,18:21
81250482,-25.4865966553425,-49.3378683447999,6,18:21,51,81230560,-25.4618345263762,-49.3467354210512,True,18:25
81230560,-25.4618345263762,-49.3467354210512,6,18:25,46,81260470,-25.4878793333939,-49.3499858333103,True,18:45
81260470,-25.4878793333939,-49.3499858333103,6,18:45,33,81920747,-25.5329949004335,-49.2526856997565,True,06:00
81920747,-25.5329949004335,-49.2526856997565,6,06:00,31,82520150,-25.4121197273283,-49.2373089094202,True,06:02
82520150,-25.4121197273283,-49.2373089094202,6,06:02,56,80050440,-25.4325298004091,-49.2411146661928,True,06:06
80050440,-25.4325298004091,-49.2411146661928,6,06:06,40,82821020,-25.4233146347775,-49.2160678044742,False,06:15
